"timestamp","type","user","method","url","ip","description"
"2025-05-26 09:03:03","PROXY","alaa.salem","GET","http://helpdesk.um6p.ma/reset-password","IP:10.10.12.56","Connexion rapide et répétée au même endpoint"
"2025-05-26 09:04:39","PROXY","mohamed.hassan","POST","http://suspicious-mirror.com/download.exe","IP:10.10.12.2","Bloqué, domaine inconnu"
"2025-05-26 09:05:10","PROXY","habib.mahfouz","GET","http://helpdesk.um6p.ma/reset-password","IP:10.10.12.118","Trafic inhabituel détecté"
"2025-05-26 09:06:54","PROXY","karim.faraj","POST","http://iot.um6p.ma/devices/status","IP:10.10.12.85","Téléchargement de script bloqué"
"2025-05-26 09:07:10","PROXY","rima.bashir","GET","http://192.168.100.5/api/v1/token","IP:10.10.12.142","Scan de port détecté"
"2025-05-26 09:08:45","PROXY","yasir.abdullah","POST","http://192.168.100.5/api/v1/token","IP:10.10.12.92","Téléchargement de script bloqué"
"2025-05-26 09:09:19","PROXY","reem.ali","POST","http://finance.um6p.ma/reports/q2","IP:10.10.12.46","Tentative d'accès externe non autorisé"
"2025-05-26 09:10:47","PROXY","aya.zahra","GET","http://phish-zone.com/intranet","IP:10.10.12.11","Échec accès, utilisateur inconnu"
"2025-05-26 09:11:23","PROXY","omar.hakim","GET","http://vpn-service.um6p.ma/login","IP:10.10.12.28","Activité suspecte sur poste utilisateur"
"2025-05-26 09:12:05","PROXY","ali.mostafa","GET","http://10.10.12.45/login.html","IP:10.10.12.8","Fichier téléchargé analysé, pas de menace"
"2025-05-26 09:13:54","PROXY","ghassan.sharif","POST","http://temp-mail.org/inbox","IP:10.10.12.77","Connexion sans User-Agent détectée"
"2025-05-26 09:14:29","PROXY","mahmoud.najjar","POST","http://wiki.um6p.ma/howto/firewall","IP:10.10.12.139","Requête HTTP non conforme"
"2025-05-26 09:15:50","PROXY","layla.abdullah","GET","http://internal.dev.um6p.ma/debug","IP:10.10.12.5","Utilisateur bloqué par politique réseau"
"2025-05-26 09:16:24","PROXY","muna.bakr","POST","http://cache.um6p.ma/images/logo.png","IP:10.10.12.23","Trafic normal"
"2025-05-26 09:17:36","PROXY","layla.abdullah","POST","http://ceo-fake.company.org","IP:10.10.12.5","Navigation anormale détectée"
"2025-05-26 09:18:20","PROXY","hafsa.mansur","POST","https://hr.um6p.ma/leave/request","IP:10.10.12.128","Connexion vers URL inconnue"
"2025-05-26 09:19:03","PROXY","shaden.naqib","GET","https://vpn.um6p.ma/portal","IP:10.10.12.112","Connexion sans User-Agent détectée"
"2025-05-26 09:20:35","PROXY","hamza.zaki","GET","https://hr.um6p.ma/leave/request","IP:10.10.12.43","Signature de phishing connue détectée"
"2025-05-26 09:21:01","PROXY","zain.ghazal","POST","http://internal-portal.um6p.ma/announcements","IP:10.10.12.97","Page classée comme site de crypto-mining"
"2025-05-26 09:22:30","PROXY","firas.abbas","GET","http://um6p-ma-reporting.internal.net","IP:10.10.12.131","Session expirée - nouvelle tentative détectée"
"2025-05-26 09:23:57","PROXY","samir.shaheen","POST","https://vpn-access.um6p.ma/token","IP:10.10.12.83","Connexion validée via double authentification"
"2025-05-26 09:24:03","PROXY","samira.karim","GET","http://drive-by-download.org/index.html","IP:10.10.12.98","Requête HTTP non conforme"
"2025-05-26 09:25:48","PROXY","jamila.kamal","GET","http://ceo-fake.company.org","IP:10.10.12.140","Tentative de bypass sécurité AD"
"2025-05-26 09:26:21","PROXY","bilal.mansour","GET","http://backdoor.um6p.fake/path","IP:10.10.12.123","Requête vers domaine anonyme"
"2025-05-26 09:27:40","PROXY","bilal.abdelaziz","GET","http://cache.um6p.ma/images/logo.png","IP:10.10.12.34","Page classée comme site de crypto-mining"
"2025-05-26 09:28:28","PROXY","mustafa.alraqi","POST","http://admin.um6p.ma/tools/logs","IP:10.10.12.41","Tentative de contournement du proxy"
"2025-05-26 09:29:37","PROXY","salma.hamdan","GET","http://192.168.100.5/api/v1/token","IP:10.10.12.9","Signature de malware détectée"
"2025-05-26 09:30:49","PROXY","zahra.mahdi","GET","http://10.10.12.45/login.html","IP:10.10.12.37","Domaine non blacklisté - accès autorisé"
"2025-05-26 09:31:36","PROXY","shaden.naqib","GET","http://um6p.ma/it/helpdesk","IP:10.10.12.112","Tentative de spoofing réseau"
"2025-05-26 09:32:38","PROXY","yasmin.abdulrahman","GET","http://admin.um6p.ma/tools/logs","IP:10.10.12.78","Requête HTTP avec header modifié"
"2025-05-26 09:33:31","PROXY","rana.azzam","GET","https://cloud.um6p.ma/storage/folder1","IP:10.10.12.25","Blocage automatique activé"
"2025-05-26 09:34:12","PROXY","khalifa.mahmoud","POST","http://malicious-domain.ru/steal.php","IP:10.10.12.103","Accès légitime"
