timestamp,type,user,action,description
2025-05-26 09:00:21,MAIL,muhannad.almasri,LOGIN_SUCCESS,Téléchargement d’une archive mail pour archivage: IP 10.10.12.125
2025-05-26 09:00:52,MAIL,zayd.abdelrahim,ACCOUNT_REACTIVATED,Lecture d’un email d’alerte sécurité
2025-05-26 09:02:05,MAIL,salwa.hamdi,UNAUTHORIZED_ACCESS_ATTEMPT,Signalement d’un phishing à l’équipe sécurité
2025-05-26 09:01:39,MAIL,nabil.ayoub,EMAIL_RULE_TRIGGERED,Téléchargement d’une archive mail pour archivage
2025-05-26 09:04:28,MAIL,zahra.mahdi,EMAIL_SEARCH,Téléchargement d’un fichier CSV utilisateur: Recherche 'Contact support sécurité'
2025-05-26 09:05:02,MAIL,nidaa.farouk,EMAIL_FORWARDED_EXTERNAL,Multiples connexions simultanées détectées
2025-05-26 09:05:34,MAIL,rashid.nour,UPLOAD_ATTACHMENT,Tentative d’accès à un email protégé par MFA
2025-05-26 09:04:20,MAIL,fadi.kassem,ACCOUNT_REACTIVATED,Envoi d’un email au support informatique
2025-05-26 09:04:30,MAIL,basim.zahran,SECURITY_ALERT_ACKNOWLEDGED,Réception d’un email avec instructions de déploiement
2025-05-26 09:04:49,MAIL,yasin.abdelrahman,EMAIL_RULE_CREATED,Téléchargement d’un rapport de vulnérabilité réseau
2025-05-26 09:08:51,MAIL,ibrahim.hamed,EMAIL_RELEASED_FROM_QUARANTINE,Suppression d’un email suspect signalé par FW
2025-05-26 09:05:45,MAIL,yara.khaled,SECURITY_ALERT_ACKNOWLEDGED,Accès à la messagerie via VPN sécurisé
2025-05-26 09:07:36,MAIL,ahmed.alhaj,EMAIL_UNTAGGED,Consultation d’un email avec pièce jointe malveillante
2025-05-26 09:12:04,MAIL,dina.rashid,LOGIN_SUCCESS,Transfert d’un email à un client externe: IP 10.10.12.84
2025-05-26 09:08:41,MAIL,tariq.mansour,EMAIL_ENCRYPTED,Envoi d’un email de validation pour action urgente
